mal_id,licensor_id
1,37
5,78
5,37
6,37
7,37
7,15
8,44
15,87
15,75
16,87
16,30
17,1
18,37
19,87
20,87
21,37
21,2
23,1
24,37
26,37
27,37
29,39
30,38
32,38
32,57
33,30
43,57
44,4
44,11
45,59
45,11
46,4
46,11
47,37
47,15
47,39
47,18
47,80
48,37
48,15
49,8
50,59
50,64
51,59
51,20
52,4
52,75
53,37
53,39
54,75
54,39
55,4
56,15
58,37
59,37
59,39
60,4
60,37
62,1
63,30
63,39
65,75
65,39
66,4
66,75
67,37
68,37
71,4
71,37
72,4
72,37
73,4
73,37
73,49
74,68
75,37
75,39
76,30
76,39
77,30
77,39
79,37
80,68
80,15
81,68
81,15
83,68
83,15
84,68
84,15
86,68
87,15
88,68
88,15
90,68
90,15
91,15
92,68
93,68
93,15
93,64
94,68
94,15
94,64
95,68
96,68
96,15
98,37
98,15
99,37
99,15
100,4
100,37
102,1
103,1
105,68
106,87
106,30
108,4
108,37
109,37
110,1
112,1
113,30
113,39
114,4
114,75
114,30
115,68
115,39
116,68
116,39
117,68
117,39
118,39
119,1
120,37
121,37
121,11
122,87
122,8
124,59
124,39
125,30
127,39
128,39
129,4
131,39
132,4
132,75
134,37
135,87
137,1
138,1
139,1
141,4
141,37
142,1
144,1
145,68
146,4
148,4
149,59
151,30
152,37
153,59
153,30
155,57
156,37
156,39
158,68
158,56
159,39
160,4
160,20
162,68
163,4
164,38
166,37
167,37
167,15
169,75
169,39
170,39
173,57
174,30
174,39
175,30
175,39
176,1
178,30
178,39
179,1
180,37
180,39
182,37
182,15
183,1
185,37
185,85
186,37
186,85
188,1
189,37
189,15
191,15
192,15
193,4
195,68
195,15
196,68
196,15
198,37
199,31
199,38
201,87
202,37
202,15
204,4
204,75
205,37
205,39
207,37
207,20
208,11
208,57
209,11
209,39
211,6
212,20
212,30
213,69
214,69
215,75
216,1
218,4
218,68
219,4
219,68
221,59
221,77
222,4
222,75
223,37
225,37
226,4
227,37
228,37
230,39
231,59
231,64
233,1
234,15
236,4
237,37
237,15
238,87
238,30
240,59
241,37
241,39
243,68
244,1
245,30
245,85
247,18
248,1
250,87
250,35
251,30
251,39
252,4
253,37
253,5
254,37
254,5
255,1
257,37
257,39
258,1
259,4
261,1
262,1
264,30
264,39
265,30
267,37
267,39
268,4
268,59
268,30
269,87
271,37
271,39
272,4
272,37
273,75
273,39
275,56
276,75
276,39
277,75
277,39
279,30
279,39
280,1
282,30
283,1
285,15
285,75
286,10
288,65
288,30
289,68
289,30
290,37
290,15
292,15
293,75
293,82
294,4
294,75
296,15
297,59
299,15
300,39
300,80
302,38
303,39
305,4
306,4
306,75
307,41
309,1
310,1
311,30
313,30
314,30
316,59
316,24
316,77
317,78
319,1
320,59
320,30
321,4
323,37
323,39
324,20
324,56
325,37
327,4
328,68
330,59
330,64
331,1
332,1
334,30
334,85
335,4
335,75
337,85
338,68
338,30
339,37
341,37
342,39
344,1
345,68
347,4
348,39
349,30
351,1
352,1
354,59
355,37
355,39
356,75
356,39
358,1
359,59
361,1
362,1
363,1
365,59
366,15
366,20
368,59
369,68
370,4
371,65
371,30
371,39
372,65
372,30
372,39
373,4
373,30
375,4
375,30
376,4
378,39
379,4
379,37
381,59
381,39
382,59
383,68
383,15
385,4
386,1
387,37
387,39
388,1
389,57
390,37
391,30
391,39
392,37
393,37
393,15
395,4
395,37
396,37
396,15
397,37
397,15
399,1
400,37
400,15
402,1
403,1
405,57
406,1
407,1
408,1
411,37
411,39
412,75
413,1
416,31
416,38
417,37
418,87
419,59
419,64
420,4
421,15
422,15
423,1
424,68
425,1
427,4
427,37
428,4
428,37
430,37
431,31
432,59
432,20
432,30
434,20
435,59
435,30
437,38
438,59
440,68
440,20
441,68
441,20
443,68
443,15
444,68
445,59
447,59
448,30
448,39
450,87
451,87
454,15
455,15
456,4
457,37
458,68
459,1
460,1
461,1
463,1
464,1
465,1
467,15
467,57
468,37
468,15
468,38
470,1
471,56
473,15
474,57
474,9
476,1
477,68
478,37
481,53
482,53
482,37
484,4
484,75
485,1
487,37
487,39
488,75
488,39
489,39
490,4
490,37
492,37
492,39
493,37
493,39
495,4
495,30
496,8
497,59
498,87
499,20
499,30
501,1
502,37
502,41
504,87
504,30
505,1
507,68
508,87
509,39
510,1
511,4
511,37
512,31
512,38
513,31
513,38
514,75
514,39
515,4
516,4
516,37
516,30
517,37
518,41
519,30
520,30
520,85
521,4
522,78
522,60
523,31
523,38
524,68
524,15
525,59
526,87
527,87
527,2
529,87
529,75
530,4
530,87
530,28
532,87
532,39
533,39
534,37
534,20
534,34
536,4
537,4
539,37
539,39
540,37
540,39
541,37
543,30
544,20
544,75
544,30
546,1
547,1
548,1
550,1
551,37
552,30
552,74
552,35
553,20
553,30
555,4
556,1
557,4
559,75
560,1
561,4
561,75
563,20
563,30
564,4
565,78
566,20
567,15
567,75
568,4
568,37
569,68
571,39
572,31
572,38
573,15
576,4
576,37
577,30
579,56
580,1
581,20
582,1
584,37
584,57
585,31
585,38
587,68
587,23
588,37
589,1
590,75
591,68
591,59
592,1
593,15
593,75
594,87
595,37
595,39
596,37
596,39
598,15
599,1
600,1
601,20
602,68
603,2
605,82
606,15
607,1
609,87
610,75
610,39
612,1
613,1
614,1
616,1
617,75
617,57
619,1
620,39
622,1
623,59
623,64
624,59
626,1
627,1
629,68
629,59
629,64
630,68
630,59
630,64
631,75
631,39
632,1
633,1
634,39
635,15
635,59
636,59
636,39
637,1
641,1
642,1
644,87
645,1
646,15
647,1
648,1
649,75
649,39
651,1
652,68
652,15
654,68
654,15
655,68
655,15
658,1
659,4
660,1
661,1
664,1
665,1
666,1
667,59
667,30
668,30
669,59
670,1
671,1
673,15
675,1
676,1
677,59
678,4
678,57
679,57
682,15
684,1
685,1
687,2
688,75
689,75
690,85
690,56
691,8
692,52
693,39
695,1
696,37
696,39
704,1
705,1
706,4
706,37
707,68
707,30
708,1
709,1
710,1
711,1
712,87
713,4
713,37
714,1
718,59
719,1
721,4
721,75
722,1
723,1
725,1
727,1
729,1
730,1
731,1
732,75
734,59
736,59
738,87
740,4
740,87
740,28
741,59
743,38
744,87
746,1
747,59
747,52
748,1
