mal_id,theme_id
1,2
1,42
5,2
5,42
6,2
7,9
8,1
15,46
16,2
16,20
16,52
17,46
18,36
19,2
19,35
20,24
21,1
23,6
24,11
24,20
24,40
26,2
26,30
26,35
27,49
29,2
29,15
29,27
29,47
30,25
30,35
32,25
32,35
33,12
33,27
33,35
43,2
43,9
43,25
43,35
44,2
44,15
44,39
45,15
45,39
46,15
46,39
47,12
47,27
47,44
48,50
49,1
50,1
51,37
52,43
53,13
54,25
54,27
55,1
56,1
58,12
58,25
58,27
58,42
58,45
59,1
60,15
60,29
62,13
63,13
65,1
66,4
66,11
66,40
67,2
67,12
67,15
67,24
67,39
68,44
71,25
71,27
72,11
72,40
73,25
73,27
74,40
74,44
75,25
75,27
76,23
77,23
79,13
79,40
79,48
80,25
80,27
80,42
81,25
81,27
83,25
83,27
84,25
84,27
84,42
86,25
86,27
86,42
87,25
87,27
87,42
88,25
88,27
88,42
90,25
90,27
90,42
91,25
91,27
91,42
92,25
92,42
93,25
93,27
93,42
94,25
94,27
94,42
95,25
95,27
95,42
96,24
96,25
96,42
98,23
98,40
99,1
100,23
100,38
102,5
103,23
105,40
106,20
106,40
108,35
109,25
110,1
112,44
113,25
113,42
114,8
114,11
114,32
114,40
115,18
116,18
117,7
117,18
118,18
119,1
120,20
120,40
121,27
122,28
122,41
124,18
125,40
127,25
128,25
129,29
131,29
132,44
134,27
134,35
135,40
135,43
137,1
138,1
139,1
141,25
142,23
142,29
142,37
144,1
145,40
146,1
148,1
149,1
151,1
152,44
153,18
155,44
156,44
158,40
159,25
159,35
159,42
159,44
160,18
160,27
162,40
163,15
164,1
166,15
166,25
166,39
167,25
169,49
170,40
170,46
173,15
173,29
174,8
174,24
174,40
174,44
175,44
176,1
178,40
179,40
180,25
180,42
182,18
182,20
182,25
182,35
183,40
183,46
185,36
186,36
188,1
189,13
191,1
192,1
193,13
193,40
195,40
196,13
196,40
198,2
198,12
198,30
198,35
198,44
199,29
201,20
202,1
204,13
204,44
205,15
205,39
207,1
208,2
208,15
209,44
211,1
212,25
212,44
213,1
214,1
215,1
216,1
218,25
218,27
218,32
218,42
219,25
219,35
219,42
221,1
222,1
223,24
225,24
226,12
226,35
226,44
227,25
227,32
227,35
228,35
230,24
231,29
233,5
234,1
236,27
236,44
237,25
238,24
238,44
240,2
240,31
240,32
241,13
241,18
241,40
243,2
243,28
243,41
244,15
245,8
245,40
245,53
247,18
247,29
247,38
248,13
250,29
251,18
252,27
252,35
253,11
253,40
254,11
255,11
257,24
257,40
257,44
258,49
259,13
259,40
261,13
262,13
262,40
264,6
265,6
267,2
267,12
267,30
267,44
268,2
268,11
268,53
269,1
271,25
272,30
273,19
273,48
275,13
276,27
277,27
279,12
279,15
279,29
279,35
280,1
282,1
283,15
285,25
285,27
286,25
288,1
289,31
290,27
290,42
292,46
293,11
293,53
294,25
294,27
294,42
296,18
297,1
299,50
300,12
300,29
302,1
303,1
305,24
306,18
306,32
307,1
309,32
310,1
311,40
313,40
314,1
316,1
317,1
319,1
320,12
321,1
323,2
323,9
323,35
324,2
324,25
324,53
325,20
325,40
327,1
328,28
330,8
330,40
331,1
332,1
334,1
335,29
337,20
337,40
337,44
338,7
338,15
338,27
339,35
341,1
342,27
342,42
344,40
345,2
345,15
347,49
348,4
349,23
351,5
351,23
352,23
354,32
355,40
355,48
356,48
358,1
359,40
359,46
361,1
362,1
363,1
365,2
365,9
366,1
368,1
369,35
370,9
371,23
372,23
373,25
375,25
376,12
376,35
376,44
378,36
379,2
379,11
379,32
381,15
381,18
381,24
382,2
383,1
385,1
386,46
387,35
388,36
389,12
389,44
390,1
391,47
392,24
392,29
393,18
393,25
395,12
395,14
395,35
395,45
396,27
396,42
397,27
397,42
399,27
399,42
400,42
402,1
403,13
405,12
405,49
406,46
407,9
408,1
411,25
412,13
413,12
413,27
416,15
416,27
417,1
418,22
419,15
419,39
420,27
421,27
422,27
423,27
424,1
425,1
427,33
427,41
428,33
428,41
430,15
430,27
431,1
432,42
434,1
435,18
435,25
437,2
437,35
437,41
438,30
440,23
440,35
440,40
441,23
441,40
443,1
444,40
445,1
447,1
448,24
448,44
450,15
450,29
450,47
451,15
451,29
451,47
454,50
455,1
456,40
457,2
457,15
457,19
458,1
459,1
460,1
461,1
463,1
464,1
465,1
467,2
467,9
467,25
467,27
468,2
468,9
468,25
468,27
468,35
470,40
471,13
471,40
473,27
474,2
474,25
474,27
474,42
476,33
477,19
478,25
478,44
481,43
482,43
484,29
485,3
487,13
487,18
487,40
488,4
488,19
489,19
489,29
489,40
490,11
490,32
490,40
492,25
493,9
493,25
493,27
495,1
496,15
497,1
498,25
499,12
501,3
502,1
504,24
505,23
507,2
507,28
507,41
508,3
509,7
509,40
510,13
510,40
511,15
512,1
513,1
514,12
514,35
514,52
515,1
516,32
517,40
518,23
519,52
520,1
521,28
522,9
523,1
524,1
525,15
526,1
527,1
529,27
529,40
530,23
532,23
533,40
534,1
536,1
537,24
539,42
540,13
540,42
541,13
541,42
543,49
544,42
546,40
547,40
548,20
550,43
551,6
551,12
552,18
553,9
553,49
555,25
556,1
557,15
559,35
560,25
560,27
561,25
561,33
563,47
564,11
564,23
564,32
565,15
565,27
566,1
567,2
567,25
567,35
568,2
568,25
569,2
569,27
569,32
569,42
571,25
572,1
573,13
573,24
573,25
576,13
577,23
579,1
580,1
581,39
582,11
582,24
582,40
584,47
585,1
587,1
588,1
589,3
590,1
591,13
592,1
593,25
593,27
593,35
593,42
594,24
595,44
596,1
598,25
599,44
599,49
600,49
601,3
601,35
602,25
603,23
605,49
606,15
606,24
606,39
607,1
609,1
610,47
612,29
612,40
613,1
614,23
616,23
617,12
617,15
617,24
617,39
619,29
620,1
622,47
623,40
624,13
626,1
627,46
629,1
630,40
631,1
632,27
633,1
634,35
635,1
636,24
636,39
637,40
641,1
642,1
644,2
644,52
645,43
646,40
647,18
647,29
648,13
648,47
649,13
651,1
652,1
654,1
655,1
658,2
658,14
658,30
658,35
658,43
659,4
659,11
659,40
660,1
661,13
661,40
664,27
665,44
665,49
666,44
666,49
667,20
667,22
667,40
668,13
668,40
669,40
670,1
671,16
671,28
673,1
675,1
676,1
677,1
678,24
678,44
679,24
679,44
682,13
684,1
685,13
685,40
687,23
688,23
688,35
689,23
689,35
690,29
690,49
691,6
692,13
693,9
695,52
696,13
696,42
704,1
705,1
706,31
707,31
708,1
709,1
710,2
710,41
711,2
711,27
711,42
712,25
712,27
713,1
714,11
714,32
714,40
718,1
719,1
721,3
721,20
721,23
721,33
722,1
723,1
725,1
727,1
729,40
730,2
730,53
731,2
731,28
732,49
734,1
736,41
738,18
740,23
741,1
743,20
743,40
744,1
746,1
747,41
748,1
749,1
751,42
752,1
753,1
754,1
755,53
756,20
756,40
758,25
758,35
759,5
760,24
