licensor_id,licensor_name
1,
2,4Kids Entertainment
3,ADK Emotions NY Inc.
4,ADV Films
5,AN Entertainment
6,Adult Source Media
7,Anchor Bay Films
8,AnimEigo
9,Anime Limited
10,Anime Midstream
11,Aniplex of America
12,Arts Magic
13,Ascendent Animation
14,Bandai
15,Bandai Entertainment
16,Bandai Namco Games
17,Bandai Namco Online
18,Bandai Visual USA
19,Capcom
20,Central Park Media
21,Cinelicious Pics
22,Cookie Jar Entertainment
23,Crimson Star Media
24,Critical Mass Video
25,Crunchyroll
26,Deaf Crocodile
27,Dentsu Entertainment USA
28,DiC Entertainment
29,Directions
30,Discotek Media
31,Disney Platform Distribution
32,DreamWorks
33,Eleven Arts
34,Enoki Films
35,Flatiron Film Company
36,Frontier Works
37,Funimation
38,GKIDS
39,Geneon Entertainment USA
40,Haoliners Animation League
41,Harmony Gold
42,Hasbro
43,Hirameki International
44,Illumitoon Entertainment
45,ImaginAsian Entertainment
46,Inc.
47,JapanAnime
48,Kadokawa
49,Kadokawa Pictures USA
50,Ketchup Entertainment
51,King Records
52,Kitty Media
53,Konami
54,Konami Cross Media NY
55,Kuma Holdings
56,Maiden Japan
57,Manga Entertainment
58,Marvel Entertainment
59,Media Blasters
60,Mill Creek Entertainment
61,Miramax Films
62,Muse Communication
63,NIS America
64,NYAV Post
65,Nelvana
66,Netflix
67,Nintendo of America
68,Nozomi Entertainment
69,NuTech Digital
70,Pied Piper
71,Pioneer LDC
72,Ponycan USA
73,Saban Brands
74,Saban Entertainment
75,Sentai Filmworks
76,Shout! Factory
77,SoftCel Pictures
78,Sony Pictures Entertainment
79,Sony Pictures Worldwide Acquisitions
80,Streamline Pictures
81,Super Techno Arts
82,Synch-Point
83,The Pokemon Company International
84,Toho International
85,Tokyopop
86,Urban Vision
87,VIZ Media
88,Voyager Entertainment
89,Warner Bros. Pictures
90,bilibili
91,eigoMANGA
92,iQIYI
