theme_id,theme_name
1,
2,Adult Cast
3,Anthropomorphic
4,CGDCT
5,Childcare
6,Combat Sports
7,Crossdressing
8,Delinquents
9,Detective
10,Educational
11,Gag Humor
12,Gore
13,Harem
14,High Stakes Game
15,Historical
16,Idols (Female)
17,Idols (Male)
18,Isekai
19,Iyashikei
20,Love Polygon
21,Love Status Quo
22,Magical Sex Shift
23,Mahou Shoujo
24,Martial Arts
25,Mecha
26,Medical
27,Military
28,Music
29,Mythology
30,Organized Crime
31,Otaku Culture
32,Parody
33,Performing Arts
34,Pets
35,Psychological
36,Racing
37,Reincarnation
38,Reverse Harem
39,Samurai
40,School
41,Showbiz
42,Space
43,Strategy Game
44,Super Power
45,Survival
46,Team Sports
47,Time Travel
48,Urban Fantasy
49,Vampire
50,Video Game
51,Villainess
52,Visual Arts
53,Workplace
